subject,trials,sisp_nll,disp_nll,sisp_bic,disp_bic,bic_diff,sisp_won,sisp_c,sisp_mu_t,sisp_mu_l,sisp_d,sisp_tc_bound,sisp_r_bound_offset,sisp_sigma_r_bound,sisp_z0,sisp_t_post,sisp_t0,disp_c,disp_mu_r,disp_mu_f,disp_d_r,disp_d_f,disp_tc_bound,disp_r_bound,disp_z0,disp_mu_r_new,disp_mu_f_new,disp_t_post,disp_t0
1,7735,257.8869516680461,248.3109661843764,605.3090109661639,604.0640615248388,-1.2449494413250477,False,0.60980094930169,0.06122825244292013,-0.5559304671550032,0.35269319067504634,0.015251240054374532,1.5228281525375893,0.9889537504415662,-0.4732057167188157,0.9805222838718604,0.4827403807269274,0.5880713976954424,0.18747612172273295,-0.16506692586060467,0.24291358680925396,0.10062559094262948,0.01891005965608343,1.3833028024271403,-0.43728403608240685,-0.8719575146861819,0.2963147763163878,0.8711638032853757,0.4552994746001304
3,7735,321.97787735152133,318.4174677164324,733.4908623331144,744.2770645889508,10.786202255836429,True,0.5196652352852162,0.6008865815823785,-1.460408579240914,0.4408555230701118,1.2506795046765449,0.5650488731911198,0.12748701854261163,-0.054366520922719375,0.2577064166946085,0.6280011653632309,0.4776239726748429,0.7221702612893052,-0.19382942239882223,0.3428127739287163,0.008769081584732687,1.3951326323387896,0.658459642139329,-0.05102299604540014,-1.2388001684034018,-0.023837011710738105,0.2881753535164736,0.604619356696954
5,7735,290.2851988802563,289.330153471441,670.1055053905843,686.102436098968,15.99693070838373,True,0.507496745930608,0.4552374296848094,-0.6396448639817081,0.31998977679104557,0.21452140420718047,0.2589391090001224,0.38012569103123894,-0.13141927391767996,0.3860562670864957,0.4996679941184764,0.4973256692398962,0.5790614484139169,-0.14065326663624736,0.2471549265236374,0.04484576022148878,0.24384573701750423,0.4853002245460189,-0.13088160696048953,-0.4013349506182581,-0.1970973571241385,0.4019739254194498,0.47598319473950035
7,7735,151.7153992058743,152.8806249471072,392.96590604182023,413.20337905030044,20.237473008480208,True,0.5627287947192593,0.31059459833007985,-0.6359834778024067,0.2575045638954385,0.20801848925877942,0.12524262948093165,0.7902140082737206,-0.6680752289822831,0.06323916743966981,0.6009240067662613,0.5239251052020641,0.565758989586358,-0.24884337197996753,0.17446274252812732,0.07446809439505647,0.22205701289002444,0.8760297334724287,-0.6744802526318092,-0.0967337776689205,-0.5118632747216276,0.0796584300266536,0.6025356335808127
